惊悚乐园	Kinh hãi thiên đường
奥术神座	Áo thuật thần tọa
重生之出人头地	Trùng sinh chi vượt hẳn mọi người
放开那个女巫	Buông cái nữ vu kia ra
幻想世界大穿越	Huyễn tưởng thế giới đại xuyên việt
回到过去变成猫	Trở lại quá khứ biến thành mèo
娱乐春秋	Giải trí Xuân Thu
大王饶命	Đại vương tha mạng
无穷重阻	Vô cùng trùng trở
从姑获鸟开始	Bắt đầu từ Ubume
绑架全人类	Bắt cóc toàn nhân loại
崩坏世界的传奇大冒险	Sụp đổ thế giới truyền kỳ đại mạo hiểm
回到明朝当王爷	Trở lại Minh triều đương vương gia
制霸好莱坞	Chế bá Hollywood
我有一座冒险屋	Ta có một tòa nhà mạo hiểm
我的女友是恶女	Bạn gái của ta là ác nữ
我被系统托管了	Ta bị hệ thống ủy trị rồi
杨戬——人生长恨水长东	Dương Tiễn - Nhân sinh trường hận thủy trường đông
无尽武装	Vô tận võ trang
1855美国大亨	1855 trùm nước Mỹ
难道我是神	Chẳng lẽ ta là thần
学霸的黑科技系统	Hệ thống khoa học đen của Học bá
从零开始	Bắt đầu từ không
星辰之主	Chúa tể trời sao
限制级末日症候	Hạn chế cấp chứng bệnh tận thế
我的老婆是公主	Lão bà của ta là công chúa
俗人回档	Tục nhân trở về
佛本是道	Phật vốn là Đạo
原始战记	Nguyên thủy chiến ký
暮霭凝香	Sương chiều ngưng hương
28岁赚千万	28 tuổi kiếm mười triệu
最终进化	Tối chung tiến hóa
花与剑与法兰西	Hoa cùng Kiếm cùng France
九万年义务教育	Chín vạn năm giáo dục bắt buộc
历史的尘埃	Bụi bặm lịch sử
我要做皇帝	Ta muốn làm hoàng đế
骑士的血脉	Huyết mạch của kỵ sĩ
反正我是超能力者	Dù sao ta là kẻ có siêu năng lực
芝加哥1990	Chicago 1990
从前有座灵剑山	Trước kia có tòa Linh Kiếm Sơn
王牌进化	Vương bài tiến hóa
走进修仙	Đi vào tu tiên
我有一座恐怖屋	Ta có một tòa khủng bố ốc
我真是大明星	Ta thật là đại minh tinh
星球博物馆	Tinh cầu viện bảo tàng
小世界其乐无穷	Tiểu thế giới kỳ lạc vô cùng
醉梦人间	Túy mộng nhân gian
深渊主宰	Vực sâu chúa tể
兽血沸腾	Thú huyết sôi trào
随波逐流之一代军师	Theo sóng đung đưa chi nhất đại quân sư
帝国的晨辉	Đế quốc ánh rạng đông
金鳞岂是池中物	Kim lân há là vật trong ao
我的一天有48小时	Một ngày của ta có 48 giờ
狼群	Bầy sói
姐夫的荣耀	Vinh quang của anh rể
打开你的任务日志	Mở ra nhật ký nhiệm vụ của ngươi
恐怖复苏	Khủng bố hồi phục
青叶灵异事务所	Thanh Hiệp Linh Dị Sự Vụ Sở
修真四万年	Tu chân bốn vạn năm
我才不会被女孩子欺负呢	Ta còn lâu mới bị cô bé bắt nạt nhé
淫奇抄之锁情咒	Dâm kỳ sao chi tỏa tình chú
阿里布达年代记	Alibuda niên đại ký
重生之钢铁大亨	Trùng sinh chi Trùm sắt thép
从零开始竞选总统	Bắt đầu từ không tranh cử Tổng thống
深夜书屋	Đêm khuya phòng sách
召唤梦魇	Triệu hoán ác mộng
综漫之神枪手	Tống mạn chi Thần thương thủ
佣兵天下	Dong binh thiên hạ
疯巫妖的实验日志	Thí nghiệm nhật ký của vu yêu điên
马恩的日常	Ngày thường của Mã Ân
灵吸怪备忘录	Linh hấp quái sổ ghi chép
老子是癞蛤蟆	Bố mày là con cóc ghẻ
陈二狗的妖孽人生	Cuộc đời yêu nghiệt của Trần Nhị Cẩu
网游之代练传说	Võng du chi truyền thuyết luyện thay
舅妈的不伦亲情	Mợ bất luân thân tình
[综]这穿越的画风不对啊	[Tổng] Này xuyên qua họa phong không đúng á
全球进化	Toàn cầu tiến hóa
我的二战不可能这么萌	Thế chiến 2 của ta không thể nào manh như vậy
民国投机者	Dân quốc kẻ đầu cơ
梦幻香江	Mộng ảo Hương Giang
太受欢迎了怎么办	Quá được hoan nghênh rồi làm sao giờ
寻找走丢的舰娘	Tìm kiếm Hạm Nương đi lạc
从火凤凰开始的特种兵	Theo lửa phượng hoàng bắt đầu lính đặc chủng
法师伊凡	Pháp sư Ivan
今天就是末日	Hôm nay liền là tận thế
好莱坞之王	Hollywood chi vương
我的1979	1979 của ta
我真的长生不老	Ta thật sự trường sinh bất lão
我在东瀛画埃罗芒阿本子	Ta ở Đông Doanh vẽ Izumi Sagiri doujin
一八九三	Một tám chín ba
狩魂者之鬼喊抓鬼	Săn Hồn Giả chi Quỷ hô bắt quỷ
从酋长到球长	Theo tù trưởng đến sân bóng
带着青山穿越	Mang theo Thanh Sơn xuyên qua
鬼吹灯	Ma thổi đèn
瘟疫医生	Bác sĩ ôn dịch
穿越方式错误的宠物小精灵	Xuyên qua phương thức sai lầm đến Pokémon
窃玉	Trộm ngọc
事象的宏图	Sự tượng đích hoằng đồ
进化的四十六亿重奏	Tiến hóa bốn tỷ sáu hợp tấu
青橙年代	Xanh cam niên đại
一代大侠	Một đời đại hiệp
某科学的宅电磁炮	Mỗ khoa học trạch điện từ pháo
燃钢之魂	Đốt thép chi hồn
最长的一梦	Tối trưởng đích nhất mộng
重生之先声夺人	Trùng sinh chi lớn tiếng doạ người
同时穿越了99个世界	Đồng thời xuyên qua rồi 99 cái thế giới
灯塔	Hải đăng
肆虐韩娱	Tàn phá Kbiz
神秘复苏	Thần bí phục hồi
文学入侵	Văn học xâm lược
特拉福买家俱乐部	Câu lạc bộ người mua Trafford
大龙挂了	Đại Long toi rồi
文化入侵异世界	Văn hóa xâm lấn thế giới khác
萨拉弗的龙翼挽歌	Sarafh long dực vãn ca
亏成首富从游戏开始	Thiệt thành nhà giàu nhất theo trò chơi bắt đầu
昆古尼尔	Gungnir
好莱坞的秘密花园	Bí mật hoa viên của Hollywood
娱乐星工场	Công Trường Sao Giải Trí
重生在跑道上	Trùng sinh tại trên đường chạy
重活了	Trùng hoạt rồi
超弦空间	Không gian siêu dây
钢铁王座	Cương thiết vương tọa
这个明星来自地球	Cái này minh tinh tới từ Địa Cầu
异化	Dị hóa
迦南之心	Canaan chi tâm
汉魏文魁	Hán Ngụy văn khôi
蹉跎	Phí hoài
暴风雨中的蝴蝶	Bươm bướm trong bão táp
禽兽不如的穿越女	Nữ xuyên qua không bằng cầm thú
起源树下的猎人	Khởi nguyên dưới cây thợ săn
唐朝好男人	Đường triều nam nhân tốt
鹰扬拜占庭	Ưng Dương Byzantine
电影的世界	Thế giới điện ảnh
恶魔囚笼	Ác ma lồng giam
我的老婆是军阀	Lão bà của ta là quân phiệt
上天台	Thượng thiên đài
微酸学园ABC	Vị chua học viên ABC
大唐之我是独孤凤	Đại Đường chi Ta là Độc Cô Phượng
三千美娇娘	Ba nghìn mỹ kiều nương
重生美国当大师	Trùng sinh nước Mỹ đương đại sư
团长养成计划	Đoàn trưởng dưỡng thành kế hoạch
重走未来路	Đi lại đường tương lai
天可汗	Thiên Khả Hãn
穿越1630之崛起南美	Xuyên qua 1630 chi quật khởi Nam Mĩ
纸上人	Người trên giấy
我的小人国	Nước Tí Hon của ta
重生之我变成了蛆	Trùng sinh chi Ta đã biến thành giòi
重生之我变成了蛆2	Trùng sinh chi Ta đã biến thành giòi 2
重卡战车在末世	Chiến xa hạng nặng tại mạt thế
文化抵抗最前线	Văn hóa chống cự tối tiền tuyến
这个电影我穿过	Cái điện ảnh này ta xuyên qua
重生于康熙末年	Trùng sinh tại Khang Hy năm cuối
室友穿裙子的秘密	Bạn cùng phòng mặc váy bí mật
超警美利坚	Siêu cảnh America
星空王座	Tinh không vương tọa
魔王奶爸	Ma vương vú em
暗黑破坏神之毁灭	Diablo chi Hủy diệt
我的主神游戏	Trò chơi chủ thần của ta
最初的寻道者	Tối sơ người tìm đạo
好莱坞制作	Hollywood chế tác
异界的艾泽拉斯	Dị giới Azeroth
我的姐姐是大明星	Tỷ tỷ của ta là đại minh tinh
一世富贵	Một đời giàu sang
绝境长城上的王者	Vương giả trưởng thành từ tuyệt cảnh
他从地狱来	Hắn theo địa ngục tới
穿越诸天当邪神	Xuyên qua chư thiên đương Tà Thần
二鬼子汉奸李富贵（曲线救国续集）	Nhị quỷ tử Hán gian Lý Phú Quý (Đường cong cứu quốc tục tập)
迷失在一六二九	Lạc hướng tại 1629
魔法种族大穿越	Ma pháp chủng tộc lớn xuyên qua
恐怖广播	Radio kinh dị
大清之祸害	Đại Thanh chi gieo họa
