# Động từ / trợ động từ

## Động từ đặc biệt
是	VShi
有	VYou
没有	VMeiyou
到	VDao

## Bổ ngữ xu hướng
来	Vdir
去	Vdir
出	Vdir

### Bổ ngữ xu hướng kép: https://khoahoctiengtrung.com/bo-ngu-xu-huong-kep/
上来	Vdir
下来	Vdir
进来	Vdir
出来	Vdir
回来	Vdir
过来	Vdir
起来	Vdir
开来	Vdir
上去	Vdir
下去	Vdir
进去	Vdir
出去	Vdir
回去	Vdir
过去	Vdir

## Động từ tâm lý
爱	Vpsy
怕	Vpsy
喜欢	Vpsy
讨厌	Vpsy
盼望	Vpsy
憎恨	Vpsy
表扬	Vpsy
成熟	Vpsy
诚实	Vpsy
吃惊	Vpsy
粗心	Vpsy
担心	Vpsy
得意	Vpsy
烦恼	Vpsy
反对	Vpsy
放弃	Vpsy
放松	Vpsy
放心	Vpsy
感动	Vpsy
感谢	Vpsy
高兴	Vpsy
孤单	Vpsy
鼓励	Vpsy
关心	Vpsy
害怕	Vpsy
害羞	Vpsy
后悔	Vpsy
怀疑	Vpsy
激动	Vpsy
骄傲	Vpsy
紧张	Vpsy
拒绝	Vpsy
开心	Vpsy
考虑	Vpsy
可惜	Vpsy
客气	Vpsy
肯定	Vpsy
恐怕	Vpsy
快乐	Vpsy
冷静	Vpsy
耐心	Vpsy
难过	Vpsy
难受	Vpsy
努力	Vpsy
批评	Vpsy
奇怪	Vpsy
热情	Vpsy
认真	Vpsy
伤心	Vpsy
生气	Vpsy
失望	Vpsy
讨厌	Vpsy
同情	Vpsy
喜欢	Vpsy
羡慕	Vpsy
信任	Vpsy
兴奋	Vpsy
幸福	Vpsy
勇敢	Vpsy
友好	Vpsy
愉快	Vpsy
愿意	Vpsy
着急	Vpsy
支持	Vpsy

# Động từ hình thức
开始	Vpro
停止	Vpro
结束	Vpro
加以	Vpro
给予	Vpro
决定	Vpro

## Động từ năng nguyện
会	VmHui
能	VmNeng
想	VmXiang
可	VmKe3
要	VmYao

肯	Vmod
可能	Vmod
可以	Vmod
希望	Vmod
应该	Vmod
愿意	Vmod
能够	Vmod
得以	Vmod
乐意	Vmod
情愿	Vmod
愿	Vmod
想要	Vmod
敢	Vmod
敢于	Vmod
乐于	Vmod
应	Vmod
应该	Vmod
应当	Vmod
必须	Vmod
得	Vmod
该	Vmod
当	Vmod
须得	Vmod
犯得着	Vmod
犯不着	Vmod
理当	Vmod
值得	Vmod
便于	Vmod
难于	Vmod
难以	Vmod
易于	Vmod
