惊悚乐园	Kinh hãi thiên đường
重生之出人头地	Trùng sinh: Vượt hẳn mọi người
放开那个女巫	Buông cái nữ vu kia ra
幻想世界大穿越	Đại xuyên việt thế giới ảo tưởng
回到过去变成猫	Trở lại quá khứ biến thành mèo
娱乐春秋	Giải trí Xuân Thu
大王饶命	Đại vương tha mạng
无穷重阻	Trùng trở vô tận
从姑获鸟开始	Bắt đầu từ Ubume
绑架全人类	Bắt cóc toàn nhân loại
崩坏世界的传奇大冒险	Truyền kỳ đại mạo hiểm của thế giới sụp đổ
回到明朝当王爷	Trở lại Minh triều làm vương gia
制霸好莱坞	Chế bá Hollywood
我有一座冒险屋	Ta có một toà nhà mạo hiểm
我的女友是恶女	Bạn gái của ta là ác nữ
我被系统托管了	Ta bị hệ thống uỷ trị rồi
杨戬——人生长恨水长东	Dương Tiễn -- Nhân sinh trường hận thuỷ trường đông
无尽武装	Vô tận võ trang
1855美国大亨	Trùm nước Mỹ 1855
难道我是神	Chẳng lẽ ta là thần
学霸的黑科技系统	Hệ thống khoa học đen của Học bá
从零开始	Bắt đầu từ không
星辰之主	Chúa tể trời sao
限制级末日症候	Chứng bệnh tận thế cấp hạn chế
我的老婆是公主	Lão bà của ta là công chúa
俗人回档	Tục nhân trở về
佛本是道	Phật vốn là Đạo
原始战记	Nguyên thuỷ chiến ký
暮霭凝香	Sương chiều ngưng hương
28岁赚千万	28 tuổi kiếm mười triệu
最终进化	Tối chung tiến hoá
花与剑与法兰西	Hoa cùng Kiếm cùng France
九万年义务教育	Giáo dục bắt buộc chín vạn năm
历史的尘埃	Bụi bặm của lịch sử
我要做皇帝	Ta muốn làm hoàng đế
骑士的血脉	Huyết mạch của kỵ sĩ
反正我是超能力者	Dù sao ta là kẻ có siêu năng lực
芝加哥1990	Chicago 1990
从前有座灵剑山	Trước kia có toà Linh Kiếm Sơn
王牌进化	Vương bài tiến hoá
走进修仙	Đi vào tu tiên
我有一座恐怖屋	Ta có một toà nhà khủng bố
我真是大明星	Ta thật là đại minh tinh
星球博物馆	Viện bảo tàng Tinh cầu
小世界其乐无穷	Thế giới nhỏ vui thú không tận
醉梦人间	Tuý mộng nhân gian
深渊主宰	Vực sâu chúa tể
兽血沸腾	Thú huyết sôi trào
随波逐流之一代军师	Theo sóng đung đưa: Nhất đại quân sư
帝国的晨辉	Ánh rạng đông của đế quốc
金鳞岂是池中物	Kim lân há là vật trong ao
我的一天有48小时	Một ngày của ta có 48 giờ
狼群	Bầy sói
姐夫的荣耀	Vinh quang của anh rể
打开你的任务日志	Mở ra nhật ký nhiệm vụ của ngươi
恐怖复苏	Khủng bố hồi phục
青叶灵异事务所	Thanh Hiệp Linh Dị Sự Vụ Sở
修真四万年	Tu chân bốn vạn năm
我才不会被女孩子欺负呢	Ta còn lâu mới bị cô bé bắt nạt nhé
淫奇抄之锁情咒	Dâm Kỳ Sao: Toả tình chú
阿里布达年代记	Alibuda niên đại ký
重生之钢铁大亨	Trùng sinh: Trùm sắt thép
从零开始竞选总统	Bắt đầu từ không tranh cử Tổng thống
深夜书屋	Phòng sách đêm khuya
召唤梦魇	Triệu hoán ác mộng
综漫之神枪手	Thần thương thủ tổng mạn
佣兵天下	Dong binh thiên hạ
疯巫妖的实验日志	Nhật ký thí nghiệm của vu yêu điên
马恩的日常	Ngày thường của Mã Ân
灵吸怪备忘录	Sổ ghi chép Linh hấp quái
老子是癞蛤蟆	Bố mày là con cóc ghẻ
陈二狗的妖孽人生	Cuộc đời yêu nghiệt của Trần Nhị Cẩu
网游之代练传说	Game online: Truyền thuyết luyện thay
舅妈的不伦亲情	Mợ bất luân thân tình
[综]这穿越的画风不对啊	[Tổng] Hoạ phong xuyên việt này không đúng á
全球进化	Toàn cầu tiến hoá
我的二战不可能这么萌	Thế chiến 2 của ta không thể nào manh như vậy
民国投机者	Kẻ đầu cơ Dân quốc
梦幻香江	Hương Giang mộng ảo
太受欢迎了怎么办	Quá được hoan nghênh rồi làm sao giờ
寻找走丢的舰娘	Tìm kiếm Hạm Nương đi lạc
从火凤凰开始的特种兵	Lính đặc chủng theo lửa phượng hoàng bắt đầu
法师伊凡	Pháp sư Ivan
今天就是末日	Hôm nay sẽ là tận thế
好莱坞之王	Vua Hollywood
我的1979	1979 của ta
我真的长生不老	Ta thật sự trường sinh bất lão
我在东瀛画埃罗芒阿本子	Ta ở Đông Doanh vẽ Izumi Sagiri doujin
一八九三	Một tám chín ba
狩魂者之鬼喊抓鬼	Săn Hồn Giả: Quỷ hô bắt quỷ
从酋长到球长	Theo tù trưởng đến sân bóng
带着青山穿越	Mang theo Thanh Sơn xuyên qua
鬼吹灯	Ma thổi đèn
瘟疫医生	Bác sĩ ôn dịch
穿越方式错误的宠物小精灵	Xuyên qua phương thức sai lầm đến Pokémon
窃玉	Trộm ngọc
事象的宏图	Hoằng đồ của sự tượng
进化的四十六亿重奏	Bốn tỷ sáu hợp tấu tiến hoá
青橙年代	Niên đại xanh cam
一代大侠	Một đời đại hiệp
某科学的宅电磁炮	Trạch điện từ pháo khoa học nào đó
燃钢之魂	Hồn đốt thép
最长的一梦	Giấc mộng dài nhất
重生之先声夺人	Trùng sinh: Lớn tiếng doạ người
同时穿越了99个世界	Đồng thời đã xuyên qua 99 thế giới
灯塔	Hải đăng
肆虐韩娱	Tàn phá Kbiz
神秘复苏	Thần bí phục hồi
文学入侵	Xâm lược văn học
特拉福买家俱乐部	Câu lạc bộ người mua Trafford
大龙挂了	Đại Long toi rồi
文化入侵异世界	Văn hoá xâm lấn thế giới khác
萨拉弗的龙翼挽歌	Long dực vãn ca của Sarafh
亏成首富从游戏开始	Thiệt thành nhà giàu nhất theo trò chơi bắt đầu
昆古尼尔	Gungnir
好莱坞的秘密花园	Bí mật hoa viên của Hollywood
娱乐星工场	Công Trường Sao Giải Trí
重生在跑道上	Trùng sinh tại trên đường chạy
重活了	Trùng hoạt rồi
超弦空间	Không gian siêu dây
钢铁王座	Cương thiết vương toạ
这个明星来自地球	Cái minh tinh này tới từ Địa Cầu
异化	Dị hoá
迦南之心	Trái tim Canaan
汉魏文魁	Hán Nguỵ văn khôi
蹉跎	Phí hoài
暴风雨中的蝴蝶	Bươm bướm trong bão táp
禽兽不如的穿越女	Nữ xuyên qua không bằng cầm thú
起源树下的猎人	Thợ săn khởi nguyên dưới cây
唐朝好男人	Nam nhân tốt đường triều
鹰扬拜占庭	Byzantine Ưng Dương
电影的世界	Thế giới điện ảnh
恶魔囚笼	Lồng giam ác ma
我的老婆是军阀	Vợ của ta là quân phiệt
上天台	Thượng thiên đài
微酸学园ABC	Học viện hơi chua ABC
大唐之我是独孤凤	Đại Đường: Ta là Độc Cô Phượng
三千美娇娘	Ba nghìn mỹ kiều nương
重生美国当大师	Sống lại nước Mỹ làm đại sư
团长养成计划	Kế hoạch dưỡng thành đoàn trưởng
重走未来路	Đi lại đường tương lai
天可汗	Thiên Khả Hãn
穿越1630之崛起南美	Xuyên đến 1630: Nam Mĩ quật khởi
纸上人	Người trên giấy
我的小人国	Nước Tí Hon của ta
重生之我变成了蛆	Trùng sinh: Ta đã biến thành giòi
重生之我变成了蛆2	Trùng sinh: Ta đã biến thành giòi 2
重卡战车在末世	Chiến xa hạng nặng ở mạt thế
这个电影我穿过	Cái điện ảnh này ta xuyên qua
重生于康熙末年	Sống lại tại năm cuối Khang Hy
室友穿裙子的秘密	Bí mật bạn cùng phòng mặc váy
超警美利坚	America siêu cảnh
星空王座	Tinh không vương toạ
魔王奶爸	Vú em Ma vương
暗黑破坏神之毁灭	Huỷ diệt Diablo
我的主神游戏	Trò chơi chủ thần của ta
最初的寻道者	Người tìm đạo ban sơ
好莱坞制作	Chế tác Hollywood
异界的艾泽拉斯	Azeroth dị giới
我的姐姐是大明星	Chị của ta là đại minh tinh
一世富贵	Một đời giàu sang
绝境长城上的王者	Vương giả trưởng thành từ tuyệt cảnh
他从地狱来	Hắn theo địa ngục tới
穿越诸天当邪神	Xuyên qua chư thiên làm Tà Thần
二鬼子汉奸李富贵（曲线救国续集）	Nhị quỷ tử Hán gian Lý Phú Quý (Đường cong cứu quốc tục tập)
迷失在一六二九	Lạc hướng tại 1629
魔法种族大穿越	Chủng tộc Ma pháp đại xuyên việt
恐怖广播	Phát thanh kinh dị
大清之祸害	Gieo hoạ Đại Thanh
黑夜将至	Đêm đen sắp đến
随身带个侏罗纪	Tuỳ thân mang cái kỷ Jura
生活系游戏	Trò chơi hệ sinh hoạt
欢迎来到BOSS队	Hoan nghênh đi tới đội BOSS
剑与魔法与出租车	Kiếm cùng Ma Pháp cùng Xe Taxi
重生之平行线	Đường song song trùng sinh
从零开始的穿越女	Nữ xuyên qua bắt đầu từ không
荣耀法兰西	Nước Pháp vinh quang
觉醒－仿如昨日	Thức tỉnh - Phảng như hôm qua
范进的平凡生活	Cuộc sống tầm thường của Phạm Tiến
科技王座	Khoa kỹ vương toạ
烽火逃兵	Phong hoả đào binh
地狱公寓	Nhà trọ Địa ngục
韩娱之光影交错	Kbiz: Quang ảnh giao thoa
曙光纪元	Kỷ nguyên Rạng đông
生于1984	Sống tại 1984
宋时归	Tống thời quy
低维游戏	Trò chơi tầng thấp
帝国从来没有神圣的	Đế quốc chưa bao giờ thần thánh thế
我只想当一个安静的学霸	Ta chỉ muốn làm một học bá an tĩnh
必然王国到自由王国	Vương quốc tất nhiên đến vương quốc tự do
重燃	Châm lại
火影之救世主	NARUTO: Cứu thế chủ
日在火影	Ngày ở NARUTO
崩坏星河	Tinh hà sụp đổ
丝路大亨	Trùm đường tơ lụa
地下城生长日志	Nhật ký sinh trưởng Địa hạ thành
绝对死亡游戏	Tò chơi tuyệt đối tử vong
重回初三	Về lại lớp chín
变成血族是什么体验	Biến thành huyết tộc là cái thể nghiệm gì
这里有妖气	Nơi này có yêu khí
清穿日常	Thanh xuyên thường ngày
台湾娱乐1971	Giải trí Đài Loan 1971
东京警事	Chuyện cảnh sát Tokyo
好莱坞之路	Con đường Hollywood
老衲还年轻	Lão nạp còn trẻ tuổi
异界征服手册	Sổ tay chinh phục dị giới
世界那么大	Thế giới như vậy lớn
水浒求生记	Thuỷ Hử cầu sinh ký
我的女友是丧尸	Bạn gái của ta là zombie
哈利波特之我是传奇	ta là truyền kỳ Harry Potter
知否？知否？应是绿肥红瘦	Biết không? Biết không? Ứng là béo xanh gầy đỏ
从1983开始	Theo 1983 bắt đầu
绿龙筑巢记	Lục Long xây tổ ký
和空姐同居的日子	Những ngày ở chung với nữ tiếp viên hàng không
革命吧女神	Cách mạng nha nữ thần
暗影神座	Ám ảnh thần toạ
聊斋好莱坞	Hollywood liêu trai
美剧世界大冒险	Đại mạo hiểm thế giới phim Mỹ
我成了一条锦鲤	Ta biến thành một con cá chép
学霸也要谈恋爱	Học bá cũng muốn yêu đương
