小狗比小猫大	chó con lớn hơn mèo con
小王比我高	Tiểu Vương cao hơn ta
苹果比香蕉好吃	táo ngon hơn chuối
他比我喜欢读书	hắn thích đọc sách hơn ta
他比我爱说话	hắn yêu nói chuyện hơn ta
他比我起得早	hắn dậy sớm hơn ta
今天比昨天冷得多	hôm nay lạnh hơn hôm qua nhiều
这次考试比上次难多了	thi lần này khó hơn lần trước nhiều rồi
他做得比我好一点儿	hắn làm tốt hơn ta một chút
大学的学费比高中的贵一些	học phí của đại học đắt hơn của cấp 3 một chút
糖果比巧克力甜	kẹo ngọt hơn sô-cô-la
他比我胖	hắn béo hơn ta
妈妈做的饭比爸爸做的饭好吃的多	cơm ma ma làm ngon hơn cơm ba ba làm nhiều
我觉得你汉语说得比他好一些	ta thấy ngươi nói tiếng Trung tốt hơn hắn một chút
我汉语说得不比他好	ta nói tiếng Trung không tốt bằng hắn
今天比昨天热	hôm nay nóng hơn hôm qua
今天不比昨天热	hôm nay không nóng bằng hôm qua
这个房间比那个更大	gian phòng này càng to hơn cái kia
今天比昨天还热	hôm nay còn nóng hơn hôm qua
他比我早来一分钟	hắn tới sớm hơn ta một phút
她写得比我快得多	nàng viết nhanh hơn ta
