几	mấy	Ri_ji
哪	nào	Ri_na2
谁	ai	Ri_shei

何	gì	Rint
啥	gì	Rint
咋	thế nào	Rint
多少	nhiều ít	Rint
哪里	nơi nào	Rint
怎样	như thế nào	Rint
哪儿	chỗ nào	Rint
什么	cái gì	Rint
怎么	thế nào	Rint
怎么样	như thế nào	Rint
怎能	có thể nào	Rint
怎的	sao	Rint
几时	khi nào	Rint
若干	một số	Rint
为何	vì sao	Rint
为什么	vì cái gì	Rint
如何	thế nào	Rint
为啥	vì sao	Rint

怎么办	làm sao giờ	Rint
什么样	kiểu gì	Rint
什么样	loại nào	Rint
什么样	cái dạng gì	Rint
哪个	cái nào	Rint
何时	khi nào	Rint
多久	bao lâu	Rint
哪种	loại kia	Rint
何处	nơi nào	Rint
孰	ai	Rint
怎	sao	Rint
何人	người nào	Rint
啥子	cái gì	Rint
何日	ngày nào	Rint
哪样	loại nào	Rint

什么的	gì gì đó	Rint
缘何	tại sao	Rint
焉	sao	Rint
