了		Ule_0	3
了	đã	Ule_0	3
了	rồi	Ule_1	2

着		Uzhe_0	3
着	lấy	Uzhe_1	2
着	đang	Uzhe_2	1

过	qua	Uguo_0	2
过	từng	Uguo_1	1

所	chỗ	Usuo	1

之		Uzhi	1

的		Udep	3
的	của	Udeg	2
的	cái	Udec	1

得		Uder	1

地		Udev_0	2
地	mà	Udev_1	1
地	một cách	Udev_2	1


等	các loại	?
等等	các loại	?
等等	vân... vân	?
等等	đợi chút	?
等等等等	vân vân và vân vân	?


般	như vậy	?
样	dạng	?
一样	như nhau	?
一样	một dạng	?
一般	đồng dạng	?
一般	thông thường	?
一般	một dạng	?

看	nhìn	?
看	xem	?
来看	đến xem	?
连	kể cả	?
连	đại đội	?
连	liền	?
来说	mà nói	?
来说	phải nói	?
来说	đến nói	?

不得	không được	?
而言	mà nói	?

为止	cho đến	?
的话	như vậy	?
的话	nếu	?

的话	lời nói	?
来讲	đến nói	?
与否	hay không	?
矣	vậy	?
似的	tựa như	?
云云	vân vân	?
极了	cực kỳ	?
而论	mà nói	?
