像女儿一样	giống như con gái
像小仙女下凡似的	giống như tiên nữ nhỏ hạ phàm	giống như tiểu tiên nữ hạ phàm
母爱像太阳一般温暖	mẫu ái ấm áp giống như thái dương
她的心像被撕裂了一般	tâm của nàng giống như bị xé rách rồi
我跟爸爸一样爱读书	ta yêu đọc sách như ba ba
你的想法和我一样	cách nghĩ của ngươi giống với ta
我的意见与他的观点相同	ý kiến của ta giống với quan điểm của hắn
同平时一样	giống với lúc thường
我跟爸爸一样高	ta cao như ba ba
这孩子的眼睛像他妈妈	con mắt của hài tử này tựa ma ma của hắn
像能说话似的	giống như có thể nói chuyện
我和她不一样	ta không giống với nàng
他变得跟以前完全不一样	hắn trở nên hoàn toàn không giống với trước kia
类似家乐福或大润发的大卖场	đại siêu thị tương tự Carrefour hoặc RT-Mart
就像没有任何一个贵族会去卖城墙一样	liền giống như không có bất kỳ một quý tộc sẽ đi bán tường thành
皆如释重负一般	đều tựa như thả gánh nặng
仿佛一条看门狗一样	giống như một điều chó giữ nhà
家属和家属还不一样	gia thuộc cùng gia thuộc còn không giống nhau	gia thuộc còn không giống với gia thuộc
