的	đích	ud		17033	
的	đích	u		2	
的	đích	ui		1	
了	liễu	ul		3177	
等	đẳng	u		811	
地	địa	ui		685	
着	trứ	uz		532	
之	chi	u		312	
所	sở	us		240	
过	quá	uo		164	
得	đắc	ue		190	
看	khán	u		1	
一样	nhất dạng	u		34	
连	liên	u		29	
来说	lai thuyết	u		45	
一般	nhất bàn	u		2	
等等	đẳng đẳng	u		34	
不得	bất đắc	u		3	
在内	tại nội	u		14	
而言	nhi ngôn	u		13	
般的	bàn đích	u		12	
来看	lai khán	u		11	
般	bàn	u		9	
为止	vi chỉ	u		8	
的话	đích thoại	u		5	
样	dạng	u		1	
来讲	lai giảng	u		3	
般地	bàn địa	u		3	
与否	dữ phủ	u		3	
矣	hĩ	Ug		2	
似的	tự đích	u		2	
云云	vân vân	u		1	
极了	cực liễu	u		1	
而论	nhi luận	u		1	
