和	hoà	c		3178	
与	dữ	c		359	
要	yếu	c		94	
以	dĩ	c		94	
而	nhi	c		522	
并	tịnh	c		361	
又	hựu	c		56	
但	đãn	c		369	
可	khả	c		40	
同时	đồng thời	c		129	
或	hoặc	c		187	
及	cập	c		181	
由于	do vu	c		92	
那	na	c		8	
如	như	c		23	
而且	nhi thả	c		128	
以及	dĩ cập	c		126	
因	nhân	c		42	
则	tắc	c		48	
不仅	bất cận	c		97	
因为	nhân vi	c		67	
既	kí	c		90	
如果	như quả	c		89	
因此	nhân thử	c		87	
甚至	thậm chí	c		30	
但是	đãn thị	c		71	
首先	thủ tiên	c		23	
或者	hoặc giả	c		65	
结果	kết quả	c		22	
即	tức	c		10	
虽然	tuy nhiên	c		54	
然而	nhiên nhi	c		52	
从而	tòng nhi	c		52	
尽管	tẫn quản	c		49	
只有	chích hữu	c		44	
还是	hoàn thị	c		29	
而是	nhi thị	c		46	
再次	tái thứ	c		2	
只要	chỉ yếu	c		41	
那么	na ma	c		19	
那么	na ma	ch_jsh_db		1	
所以	sở dĩ	c		36	
此外	thử ngoại	c		31	
于是	vu thị	c		27	
可是	khả thị	c		26	
即使	tức sử	c		26	
只是	chích thị	c		5	
因而	nhân nhi	c		24	
乃至	nãi chí	c		23	
然后	nhiên hậu	c		23	
不过	bất quá	c		16	
无论	vô luận	c		23	
另外	lánh ngoại	c		19	
并且	tịnh thả	c		22	
另一方面	lánh nhất phương diện	c		21	
其次	kỳ thứ	c		21	
及其	cập kỳ	c		21	
一方面	nhất phương diện	c		21	
虽	tuy	c		20	
若	nhược	c		19	
与此同时	dữ thử đồng thời	c		19	
不管	bất quản	c		18	
不但	bất đãn	c		18	
接着	tiếp trứ	c		10	
总之	tổng chi	c		15	
否则	phủ tắc	c		14	
如果说	như quả thuyết	c		12	
要么	yếu ma	c		12	
且	thả	c		11	
不如	bất như	c		1	
之所以	chi sở dĩ	c		9	
以便	dĩ tiện	c		8	
不论	bất luận	c		7	
何况	hà huống	c		7	
加之	gia chi	c		7	
进而	tiến nhi	c		7	
以至	dĩ chí	c		6	
以致	dĩ trí	c		6	
故	cố	c		4	
固然	cố nhiên	c		5	
不然	bất nhiên	c		4	
不是	bất thị	c		4	
若是	nhược thị	c		4	
也就是说	dã tựu thị thuyết	c		4	
既然	kí nhiên	c		4	
虽说	tuy thuyết	c		4	
假如	giả như	c		4	
总的来说	tổng đích lai thuyết	c		3	
抑或	ức hoặc	c		3	
再说	tái thuyết	c		2	
以免	dĩ miễn	c		3	
以至于	dĩ chí ư	c		3	
是因为	thị nhân vi	c		3	
由此可见	do thử khả kiến	c		3	
更何况	canh hà huống	c		3	
即便	tức tiện	c		3	
可见	khả kiến	c		3	
不光	bất quang	c		3	
而后	nhi hậu	c		3	
除非	trừ phi	c		2	
继而	kế nhi	c		2	
转而	chuyển nhi	c		2	
紧接着	khẩn tiếp trứ	c		2	
谁知	thuỳ tri	c		1	
免得	miễn đắc	c		2	
为的是	vi đích thị	c		2	
暨	kị	c		2	
倘若	thảng nhược	c		2	
况且	huống thả	c		2	
再者	tái giả	c		2	
不论是	bất luận thị	c		2	
要不	yếu bất	c		2	
或是	hoặc thị	c		2	
非但	phi đãn	c		2	
果真	quả chân	c		1	
就算	tựu toán	c		2	
要不是	yếu bất thị	c		1	
总的来看	tổng đích lai khán	c		1	
假若	giả nhược	c		1	
纵	tung	c		1	
倘	thảng	c		1	
与其	dữ kỳ	c		1	
莫若	mạc nhược	c		1	
譬如说	thí như thuyết	c		1	
就是说	tựu thị thuyết	c		1	
再有	tái hữu	c		1	
一来	nhất lai	c		1	
二来	nhị lai	c		1	
由此看来	do thử khán lai	c		1	
恰恰相反	kháp kháp tương phản	c		1	
接下来	tiếp hạ lai	c		1	
按理说	án lý thuyết	c		1	
如若	như nhược	c		1	
尔后	nhĩ hậu	c		1	
纵使	tung sử	c		1	
要不然	yếu bất nhiên	c		1	
无论是	vô luận thị	c		1	
总的看	tổng đích khán	c		1	
比如说	tỉ như thuyết	c		1	
反之	phản chi	c		1	
且不说	thả bất thuyết	c		1	
再者说	tái giả thuyết	c		1	
总的说来	tổng đích thuyết lai	c		1	
具体说来	cụ thể thuyết lai	c		1	
与此相反	dữ thử tương phản	c		1	
要是	yếu thị	c		1	
有鉴于此	hữu giám vu thử	c		1	
